code
AAR
AFR
ALB
AMH
ARA
ARM
AZE
BAQ
BEN
BIH
BOS
BUL
BUR
CAT
CHI
CZE
DAN
DUT
ENG
FAO
FIJ
FIN
FRE
FY
GEO
GER
GLE
GRE
GRN
GUJ
HAT
HAU
HEB
HIN
HRV
HUN
IND
ITA
JPN
KAL
KAN
KAS
KHM
KOR
KUR
LAV
LIN
LIT
MAC
MAL
MAR
MAY
NEP
NOF
NOR
ORI
ORM
PAN
PER
PHI
POL
POR
PUS
RUM
RUS
SGN
SH
SIN
SLO
SLV
SND
SOM
SOT
SPA
SRP
SUN
SWA
SWE
TAM
TEL
TGK
TGL
THA
TIB
TUK
TUR
TWI
UKR
URD
UZB
VIE
YID
YOR
ZUL
