code, display, definition
mon, Monday, Monday.
tue, Tuesday, Tuesday.
wed, Wednesday, Wednesday.
thu, Thursday, Thursday.
fri, Friday, Friday.
sat, Saturday, Saturday.
sun, Sunday, Sunday.
